,600036.SH,601166.SH
,招商银行,兴业银行
,收盘价(元),收盘价(元)
2002-4-9,2.9279,
2002-4-10,2.9114,
2002-4-11,2.8894,
2002-4-12,2.9032,
2002-4-15,2.8537,
2002-4-16,2.7905,
2002-4-17,2.807,
2002-4-18,2.7796,
2002-4-19,2.7851,
2002-4-22,2.7493,
2002-4-23,2.7466,
2002-4-24,2.6834,
2002-4-25,2.6944,
2002-4-26,2.7027,
2002-4-29,2.7054,
2002-4-30,2.7521,
2002-5-8,2.7191,
2002-5-9,2.7301,
2002-5-10,2.6944,
2002-5-13,2.6422,
2002-5-14,2.6038,
2002-5-15,2.5516,
2002-5-16,2.5131,
2002-5-17,2.5406,
2002-5-20,2.4664,
2002-5-21,2.5214,
2002-5-22,2.4555,
2002-5-23,2.4664,
2002-5-24,2.4362,
2002-5-27,2.4472,
2002-5-28,2.45,
2002-5-29,2.3813,
2002-5-30,2.4033,
2002-5-31,2.3895,
2002-6-3,2.3895,
2002-6-4,2.4335,
2002-6-5,2.4005,
2002-6-6,2.4719,
2002-6-7,2.4664,
2002-6-10,2.4692,
2002-6-11,2.4555,
2002-6-12,2.4362,
2002-6-13,2.406,
2002-6-14,2.3841,
2002-6-17,2.3786,
2002-6-18,2.4198,
2002-6-19,2.3841,
2002-6-20,2.3978,
2002-6-21,2.4637,
2002-6-24,2.7109,
2002-6-25,2.8702,
2002-6-26,2.8098,
2002-6-27,2.8839,
2002-6-28,3.1723,
2002-7-1,3.1806,
2002-7-2,3.1421,
2002-7-3,3.1504,
2002-7-4,3.0515,
2002-7-5,3.1037,
2002-7-8,3.1146,
2002-7-9,3.1998,
2002-7-10,3.1064,
2002-7-11,3.0734,
2002-7-12,3.0295,
2002-7-15,2.9773,
2002-7-16,2.9828,
2002-7-17,3.0295,
2002-7-18,3.0487,
2002-7-19,3.0597,
2002-7-22,2.9361,
2002-7-23,2.9636,
2002-7-24,2.9608,
2002-7-25,2.9279,
2002-7-26,2.9169,
2002-7-29,2.9361,
2002-7-30,3.0075,
2002-7-31,2.9389,
2002-8-1,2.9471,
2002-8-2,2.9471,
2002-8-5,2.8894,
2002-8-6,2.9004,
2002-8-7,2.9114,
2002-8-8,2.9251,
2002-8-9,2.8922,
2002-8-12,2.84,
2002-8-13,2.84,
2002-8-14,2.8729,
2002-8-15,2.8675,
2002-8-16,2.8675,
2002-8-19,2.9004,
2002-8-20,2.9993,
2002-8-21,2.9856,
2002-8-22,2.991,
2002-8-23,2.9993,
2002-8-26,2.9553,
2002-8-27,2.9663,
2002-8-28,2.9773,
2002-8-29,2.9636,
2002-8-30,2.9691,
2002-9-2,2.9636,
2002-9-3,3.0048,
2002-9-4,2.9773,
2002-9-5,2.9169,
2002-9-6,2.862,
2002-9-9,2.8482,
2002-9-10,2.851,
2002-9-11,2.8372,
2002-9-12,2.8317,
2002-9-13,2.8455,
2002-9-16,2.7658,
2002-9-17,2.7713,
2002-9-18,2.7713,
2002-9-19,2.8208,
2002-9-20,2.7851,
2002-9-23,2.7905,
2002-9-24,2.807,
2002-9-25,2.8235,
2002-9-26,2.8015,
2002-9-27,2.7686,
2002-10-8,2.7466,
2002-10-9,2.6642,
2002-10-10,2.6285,
2002-10-11,2.612,
2002-10-14,2.6367,
2002-10-15,2.6065,
2002-10-16,2.6615,
2002-10-17,2.6477,
2002-10-18,2.656,
2002-10-21,2.6752,
2002-10-22,2.7081,
2002-10-23,2.6917,
2002-10-24,2.6779,
2002-10-25,2.656,
2002-10-28,2.6175,
2002-10-29,2.6422,
2002-10-30,2.6477,
2002-10-31,2.6285,
2002-11-1,2.645,
2002-11-4,2.6999,
2002-11-5,2.7246,
2002-11-6,2.7191,
2002-11-7,2.7466,
2002-11-8,2.7027,
2002-11-11,2.6587,
2002-11-12,2.6752,
2002-11-13,2.6587,
2002-11-14,2.601,
2002-11-15,2.5818,
2002-11-18,2.5186,
2002-11-19,2.5379,
2002-11-20,2.5022,
2002-11-21,2.4307,
2002-11-22,2.4362,
2002-11-25,2.4445,
2002-11-26,2.417,
2002-11-27,2.45,
2002-11-28,2.5022,
2002-11-29,2.5296,
2002-12-2,2.4527,
2002-12-3,2.4747,
2002-12-4,2.4719,
2002-12-5,2.4252,
2002-12-6,2.4225,
2002-12-9,2.439,
2002-12-10,2.3868,
2002-12-11,2.3758,
2002-12-12,2.3621,
2002-12-13,2.3868,
2002-12-16,2.3841,
2002-12-17,2.3868,
2002-12-18,2.3813,
2002-12-19,2.3648,
2002-12-20,2.4033,
2002-12-23,2.4143,
2002-12-24,2.4115,
2002-12-25,2.3895,
2002-12-26,2.3264,
2002-12-27,2.3099,
2002-12-30,2.2577,
2002-12-31,2.2357,
2003-1-2,2.2138,
2003-1-3,2.2302,
2003-1-6,2.2412,
2003-1-7,2.2193,
2003-1-8,2.3126,
2003-1-9,2.4005,
2003-1-10,2.3648,
2003-1-13,2.3429,
2003-1-14,2.5763,
2003-1-15,2.5269,
2003-1-16,2.5543,
2003-1-17,2.5543,
2003-1-20,2.6175,
2003-1-21,2.5928,
2003-1-22,2.5681,
2003-1-23,2.5543,
2003-1-24,2.6203,
2003-1-27,2.6862,
2003-1-28,2.6889,
2003-1-29,2.7027,
2003-2-10,2.623,
