Date,600036.SH,601166.SH
2008/1/2,25.8262,24.908
2008/1/3,25.2405,24.0304
2008/1/4,25.5533,24.4451
2008/1/7,26.0059,25.4094
2008/1/8,26.8313,26.2098
2008/1/9,27.1641,26.4557
2008/1/10,27.3572,27.473
2008/1/11,28.5819,29.4112
2008/1/14,28.715,29.5366
2008/1/15,27.8298,28.1866
2008/1/16,26.2722,25.7951
2008/1/17,26.0592,25.6022
2008/1/18,26.4253,25.3997
2008/1/21,24.6547,23.7556
2008/1/22,23.3834,22.2513
2008/1/23,24.4484,22.9456
2008/1/24,24.4284,22.314
2008/1/25,25.2139,23.6061
2008/1/28,23.6763,22.1693
2008/1/29,23.2969,21.745
2008/1/30,21.9456,20.0045
2008/1/31,21.6461,19.2764
2008/2/1,22.0721,19.7393
2008/2/4,24.1489,21.6341
2008/2/5,23.9958,22.4008
2008/2/13,23.024,21.4606
2008/2/14,23.1837,21.6004
2008/2/15,22.3117,20.7325
2008/2/18,22.964,21.6679
2008/2/19,23.2436,22.0825
2008/2/20,21.9257,21.1134
2008/2/21,21.4331,20.4625
2008/2/22,20.2017,19.72
2008/2/25,19.8223,20.313
2008/2/26,20.2084,20.4722
2008/2/27,21.1935,20.9543
2008/2/28,21.1469,21.0941
2008/2/29,21.28,21.3352
2008/3/3,22.0788,21.5811
2008/3/4,21.0537,20.2214
2008/3/5,21.5063,20.1829
2008/3/6,22.1986,20.3227
2008/3/7,22.0721,19.8164
2008/3/10,20.6344,18.828
2008/3/11,20.8274,18.1723
2008/3/12,19.7491,16.9139
2008/3/13,20.1485,16.4317
2008/3/14,19.5161,15.9737
2008/3/17,19.0835,16.2244
2008/3/18,18.7773,15.8483
2008/3/19,19.4961,16.8367
2008/3/20,20.3947,17.3141
2008/3/21,20.2084,16.9332
2008/3/24,19.0369,15.3469
2008/3/25,19.7824,15.5928
2008/3/26,20.428,15.911
2008/3/27,20.3681,15.9158
2008/3/28,21.7792,17.5069
2008/3/31,21.4131,17.7528
2008/4/1,21.0936,17.3237
2008/4/2,21.4464,18.0807
2008/4/3,21.9656,18.2977
2008/4/7,22.3783,18.7798
2008/4/8,22.2585,18.5532
2008/4/9,20.9672,17.4925
2008/4/10,21.3865,17.8444
2008/4/11,21.8192,18.1
2008/4/14,19.9754,16.4414
2008/4/15,19.8955,16.3401
2008/4/16,19.8223,15.9737
2008/4/17,19.5494,16.2437
2008/4/18,19.5361,16.7017
2008/4/21,20.0553,16.5233
2008/4/22,20.7076,17.1164
2008/4/23,21.5795,18.0855
2008/4/24,23.7095,19.773
2008/4/25,22.8775,19.2668
2008/4/28,22.3916,19.2668
2008/4/29,22.2851,18.8762
2008/4/30,23.3035,19.6573
2008/5/5,23.2636,19.532
2008/5/6,22.6246,18.9534
2008/5/7,21.7193,17.8637
2008/5/8,21.9523,18.0421
2008/5/9,20.8074,17.0778
2008/5/12,21.107,17.4201
2008/5/13,20.6543,16.7885
2008/5/14,21.6661,17.8782
2008/5/15,21.2734,17.4491
2008/5/16,21.3599,17.7094
2008/5/19,20.9672,17.6226
2008/5/20,20.0486,16.7837
2008/5/21,20.215,17.02
2008/5/22,19.7757,16.6294
2008/5/23,19.8356,16.6149
2008/5/26,19.4828,15.9062
2008/5/27,19.616,16.0376
2008/5/28,20.3149,16.7777
2008/5/29,19.7424,16.2129
2008/5/30,19.7424,16.7972
2008/6/2,19.7424,16.8702
2008/6/3,19.7624,16.8653
2008/6/4,19.15,16.4612
2008/6/5,18.8705,16.5975
2008/6/6,18.7174,16.6024
2008/6/10,16.847,14.9422
2008/6/11,16.0416,13.9392
2008/6/12,15.5756,13.5351
2008/6/13,15.5224,13.4621
2008/6/16,16.1214,13.5108
2008/6/17,15.9018,12.6587
2008/6/18,16.5607,13.4183
2008/6/19,15.6755,12.0745
2008/6/20,16.4076,12.4494
2008/6/23,15.8152,12.1962
2008/6/24,16.0549,12.6928
2008/6/25,16.4476,13.0482
2008/6/26,16.3943,13.0482
2008/6/27,16.3943,12.2838
2008/6/30,15.5889,12.4007
2008/7/1,14.0314,12.0696
2008/7/2,13.825,12.1767
2008/7/3,14.078,12.1962
2008/7/4,14.1711,12.2449
2008/7/7,15.0897,12.9655
2008/7/8,15.1097,12.9362
2008/7/9,15.9484,13.54
2008/7/10,15.975,13.2284
2008/7/11,16.0083,13.5205
2008/7/14,16.2146,13.4036
2008/7/15,15.2694,12.5614
2008/7/16,14.6437,11.758
2008/7/17,14.6171,11.6071
2008/7/18,15.1296,11.8943
2008/7/21,15.762,12.3228
2008/7/22,15.8818,12.3277
2008/7/23,16.0216,12.1816
2008/7/24,16.9135,12.8097
2008/7/25,16.6406,12.9119
2008/7/28,16.6541,13.0823
2008/7/29,16.405,12.7366
2008/7/30,16.2906,12.7561
2008/7/31,15.9136,12.2205
2008/8/1,16.4791,12.6149
2008/8/4,16.331,12.2887
2008/8/5,15.9607,12.0647
2008/8/6,16.2636,12.2352
2008/8/7,16.2434,12.1378
2008/8/8,15.7453,11.9284
2008/8/11,15.2876,11.5341
2008/8/12,15.0048,11.1835
2008/8/13,14.6817,10.9498
2008/8/14,14.5471,10.8914
2008/8/15,14.8029,11.1446
2008/8/18,14.2778,10.8183
2008/8/19,14.7356,11.276
2008/8/20,16.1021,12.1086
2008/8/21,15.5703,11.3296
2008/8/22,15.4491,10.8524
2008/8/25,15.5434,10.7453
2008/8/26,15.402,10.3363
2008/8/27,15.4289,10.4288
2008/8/28,15.4155,10.5019
2008/8/29,15.5366,10.7551
2008/9/1,14.5134,10.1562
2008/9/2,14.0557,9.8446
2008/9/3,13.6383,9.5671
2008/9/4,13.7729,9.4746
2008/9/5,13.4633,9.2214
2008/9/8,13.5239,8.9244
2008/9/9,13.5844,8.9585
2008/9/10,13.3286,8.8319
2008/9/11,12.1439,8.3061
2008/9/12,12.016,8.1892
2008/9/16,10.8177,7.3713
2008/9/17,9.7407,6.7237
2008/9/18,10.0436,6.9964
2008/9/19,11.0466,7.6975
2008/9/22,12.1506,8.4667
2008/9/23,11.5313,7.7803
2008/9/24,11.3293,7.6634
2008/9/25,11.8477,7.9214
2008/9/26,11.8611,7.9993
2008/10/6,10.6764,7.2009
2008/10/7,10.4946,7.1571
2008/10/8,9.6195,6.7919
2008/10/9,9.6868,6.8211
2008/10/10,9.3166,6.5485
2008/10/13,10.2456,7.2057
2008/10/14,10.0503,6.938
2008/10/15,10.2321,7.0548
2008/10/16,9.6464,6.6653
2008/10/17,9.5455,6.7627
2008/10/20,10.0099,7.1084
2008/10/21,9.8484,7.0305
2008/10/22,9.5051,6.8893
2008/10/23,9.081,6.6264
2008/10/24,8.1722,6.232
2008/10/27,7.5058,5.7062
2008/10/28,7.9433,6.159
2008/10/29,7.8895,5.9642
2008/10/30,8.1924,6.1882
2008/10/31,7.8693,6.0226
2008/11/3,7.9097,6.1103
2008/11/4,7.8087,6.1736
2008/11/5,8.5559,6.5679
2008/11/6,8.1251,6.2953
2008/11/7,8.428,6.7286
2008/11/10,9.2291,7.3664
2008/11/11,9.0339,7.1132
2008/11/12,9.1416,7.3567
2008/11/13,9.4378,7.6975
2008/11/14,9.5926,7.7754
2008/11/17,9.7272,7.8338
2008/11/18,8.7579,7.0645
2008/11/19,9.3166,7.6975
2008/11/20,8.98,7.5466
